"Categorical","Categorical","IGNORE","Output regression","IGNORE","Categorical","Categorical","Categorical","Categorical","IGNORE"
"Store","DayOfWeek","Date","Sales","Customers","Open","Promo","StateHoliday","SchoolHoliday","logSales"
1,2,2013-01-01,0,0,0,0,a,1,0
2,2,2013-01-01,0,0,0,0,a,1,0
3,2,2013-01-01,0,0,0,0,a,1,0
4,2,2013-01-01,0,0,0,0,a,1,0
5,2,2013-01-01,0,0,0,0,a,1,0
6,2,2013-01-01,0,0,0,0,a,1,0
7,2,2013-01-01,0,0,0,0,a,1,0
8,2,2013-01-01,0,0,0,0,a,1,0
9,2,2013-01-01,0,0,0,0,a,1,0
10,2,2013-01-01,0,0,0,0,a,1,0
11,2,2013-01-01,0,0,0,0,a,1,0
12,2,2013-01-01,0,0,0,0,a,1,0
13,2,2013-01-01,0,0,0,0,a,1,0
14,2,2013-01-01,0,0,0,0,a,1,0
15,2,2013-01-01,0,0,0,0,a,1,0
16,2,2013-01-01,0,0,0,0,a,1,0
17,2,2013-01-01,0,0,0,0,a,1,0
18,2,2013-01-01,0,0,0,0,a,1,0
19,2,2013-01-01,0,0,0,0,a,1,0
20,2,2013-01-01,0,0,0,0,a,1,0
21,2,2013-01-01,0,0,0,0,a,1,0
22,2,2013-01-01,0,0,0,0,a,1,0
23,2,2013-01-01,0,0,0,0,a,1,0
24,2,2013-01-01,0,0,0,0,a,1,0
25,2,2013-01-01,0,0,0,0,a,1,0
26,2,2013-01-01,0,0,0,0,a,1,0
27,2,2013-01-01,0,0,0,0,a,1,0
28,2,2013-01-01,0,0,0,0,a,1,0
29,2,2013-01-01,0,0,0,0,a,1,0
30,2,2013-01-01,0,0,0,0,a,1,0
31,2,2013-01-01,0,0,0,0,a,1,0
32,2,2013-01-01,0,0,0,0,a,1,0
33,2,2013-01-01,0,0,0,0,a,1,0
34,2,2013-01-01,0,0,0,0,a,1,0
35,2,2013-01-01,0,0,0,0,a,1,0
36,2,2013-01-01,0,0,0,0,a,1,0
37,2,2013-01-01,0,0,0,0,a,1,0
38,2,2013-01-01,0,0,0,0,a,1,0
39,2,2013-01-01,0,0,0,0,a,1,0
40,2,2013-01-01,0,0,0,0,a,1,0
41,2,2013-01-01,0,0,0,0,a,1,0
42,2,2013-01-01,0,0,0,0,a,1,0
43,2,2013-01-01,0,0,0,0,a,1,0
44,2,2013-01-01,0,0,0,0,a,1,0
